StudentID,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance
1001,7,99,Yes,9,1,Distinction
1002,4,82,No,4,2,Average
1003,8,51,Yes,7,2,Poor
1004,5,52,Yes,5,2,Poor
1005,7,75,No,8,5,Average
1006,3,78,No,9,6,Average
1007,7,73,Yes,5,6,Average
1008,8,45,Yes,4,6,Poor
1009,5,77,No,8,2,Average
1010,4,89,No,4,0,Average
1011,8,91,No,4,5,Good
1012,8,79,No,6,2,Good
1013,3,47,No,9,2,Poor
1014,6,47,No,4,2,Poor
1015,5,79,No,7,8,Average
1016,2,72,No,4,3,Poor
1017,8,73,Yes,8,4,Average
1018,6,83,Yes,7,2,Good
1019,2,54,Yes,4,9,Poor
1020,5,75,No,7,0,Average
1021,1,99,Yes,4,3,Good
1022,6,96,No,9,0,Distinction
1023,9,74,Yes,7,6,Good
1024,1,85,No,5,6,Average
1025,3,61,No,6,3,Poor
1026,7,62,Yes,7,4,Poor
1027,4,79,No,8,9,Average
1028,9,84,Yes,6,6,Good
1029,3,94,Yes,6,5,Good
1030,5,90,Yes,4,3,Good
1031,3,61,Yes,7,3,Poor
1032,7,44,Yes,9,1,Poor
1033,5,70,Yes,6,9,Average
1034,9,52,Yes,8,1,Poor
1035,7,67,Yes,9,3,Average
1036,2,97,Yes,9,4,Good
1037,4,59,No,8,3,Poor
1038,9,72,No,8,2,Average
1039,2,55,Yes,4,1,Poor
1040,9,68,No,5,3,Average
1041,5,62,No,7,4,Poor
1042,2,63,Yes,6,0,Poor
1043,4,73,Yes,7,0,Average
1044,7,46,No,9,5,Poor
1045,8,77,Yes,6,4,Good
1046,3,76,Yes,4,3,Average
1047,1,43,Yes,7,0,Poor
1048,4,73,No,4,6,Average
1049,2,81,Yes,4,3,Average
1050,8,61,No,7,2,Average
1051,4,44,Yes,7,6,Poor
1052,2,89,Yes,6,1,Average
1053,6,81,No,9,9,Good
1054,6,62,Yes,9,0,Average
1055,4,93,No,8,3,Good
1056,6,99,No,4,7,Distinction
1057,2,54,Yes,9,5,Poor
1058,2,70,Yes,5,8,Poor
1059,4,98,No,6,0,Good
1060,8,48,No,6,0,Poor
1061,7,82,Yes,8,4,Good
1062,9,97,Yes,8,5,Distinction
1063,8,92,Yes,4,7,Distinction
1064,5,64,Yes,6,2,Poor
1065,2,64,Yes,6,5,Poor
1066,5,88,No,5,2,Good
1067,8,60,No,4,7,Average
1068,9,48,No,4,3,Poor
1069,9,94,No,9,1,Distinction
1070,1,87,Yes,8,8,Average
1071,9,77,No,9,9,Good
1072,7,61,Yes,4,7,Average
1073,9,82,Yes,5,5,Good
1074,8,62,Yes,4,2,Average
1075,1,88,Yes,9,1,Average
1076,8,43,Yes,7,3,Poor
1077,8,68,No,7,3,Average
1078,3,54,Yes,5,0,Poor
1079,1,40,Yes,8,8,Poor
1080,8,93,Yes,6,9,Distinction
1081,3,69,No,4,7,Poor
1082,3,68,Yes,9,6,Poor
1083,1,59,Yes,8,5,Poor
1084,5,72,Yes,9,2,Average
1085,7,80,No,8,3,Good
1086,9,83,Yes,4,1,Good
1087,7,75,No,6,6,Average
1088,9,99,No,4,1,Distinction
1089,8,61,Yes,6,9,Average
1090,2,52,No,9,0,Poor
1091,1,46,No,5,5,Poor
1092,7,47,Yes,6,3,Poor
1093,7,67,Yes,8,7,Average
1094,8,84,Yes,5,0,Good
1095,5,82,Yes,9,8,Average
1096,3,48,No,7,5,Poor
1097,8,64,No,5,1,Average
1098,6,95,Yes,6,7,Good
1099,3,55,Yes,5,4,Poor
1100,1,49,Yes,9,4,Poor
1101,3,50,No,5,4,Poor
1102,5,70,Yes,9,6,Average
1103,3,51,No,7,6,Poor
1104,1,99,No,6,9,Good
1105,5,70,No,8,6,Average
1106,7,53,No,5,9,Poor
1107,7,90,Yes,4,1,Good
1108,9,83,Yes,8,7,Good
1109,3,71,Yes,5,0,Average
1110,7,89,No,8,1,Good
1111,1,92,No,4,6,Average
1112,4,56,Yes,8,3,Poor
1113,4,74,No,8,9,Average
1114,5,40,No,4,9,Poor
1115,7,68,No,4,8,Average
1116,7,90,Yes,4,8,Good
1117,4,43,Yes,7,2,Poor
1118,7,62,Yes,9,2,Average
1119,3,67,No,9,8,Poor
1120,6,55,Yes,4,9,Poor
1121,2,51,Yes,9,7,Poor
1122,9,92,Yes,8,0,Distinction
1123,5,60,No,4,5,Poor
1124,6,84,No,5,6,Good
1125,4,56,No,4,7,Poor
1126,7,79,No,4,1,Good
1127,9,52,No,9,0,Poor
1128,7,91,Yes,6,3,Good
1129,1,97,Yes,8,0,Good
1130,1,71,No,9,1,Poor
1131,9,76,No,8,2,Good
1132,9,89,Yes,5,3,Distinction
1133,4,54,No,7,5,Poor
1134,9,51,No,6,7,Poor
1135,3,88,No,5,8,Average
1136,7,96,No,5,3,Good
1137,6,54,No,8,0,Poor
1138,8,73,Yes,6,4,Average
1139,9,45,Yes,8,4,Poor
1140,5,56,No,7,8,Poor
1141,1,87,No,8,5,Average
1142,3,88,Yes,4,4,Average
1143,8,96,No,8,9,Distinction
1144,6,59,Yes,4,9,Poor
1145,8,48,No,5,4,Poor
1146,9,98,Yes,7,7,Distinction
1147,4,44,Yes,9,0,Poor
1148,1,62,No,4,4,Poor
1149,1,72,No,7,0,Poor
1150,4,77,Yes,8,6,Average
1151,7,95,No,9,6,Good
1152,2,53,Yes,8,9,Poor
1153,3,56,No,5,7,Poor
1154,1,96,No,8,6,Good
1155,5,58,No,4,8,Poor
1156,1,72,Yes,5,7,Poor
1157,8,40,Yes,7,7,Poor
1158,1,52,No,5,2,Poor
1159,1,85,Yes,7,9,Average
1160,2,66,No,6,3,Poor
1161,2,45,Yes,4,3,Poor
1162,6,98,No,4,0,Distinction
1163,7,45,Yes,7,5,Poor
1164,5,72,Yes,8,1,Average
1165,1,69,Yes,9,8,Poor
1166,1,85,Yes,8,0,Average
1167,3,74,Yes,6,0,Average
1168,2,62,Yes,7,9,Poor
1169,5,49,No,6,5,Poor
1170,6,90,No,7,0,Good
1171,7,58,Yes,6,2,Average
1172,4,90,No,7,9,Good
1173,7,67,Yes,4,1,Average
1174,8,62,No,6,8,Average
1175,1,43,No,6,4,Poor
1176,6,59,No,7,5,Poor
1177,8,58,No,5,1,Poor
1178,5,81,Yes,5,7,Average
1179,4,66,No,4,5,Poor
1180,2,96,No,8,7,Good
1181,6,73,No,8,7,Average
1182,6,43,Yes,4,0,Poor
1183,1,95,No,8,6,Good
1184,9,77,Yes,9,1,Good
1185,6,46,Yes,9,7,Poor
1186,3,87,No,9,1,Average
1187,4,46,Yes,9,3,Poor
